u_x_normalized,v_y_normalized
0.420468,0.404058
0.420760,0.404139
0.421053,0.404220
0.421345,0.404293
0.421637,0.404374
0.421930,0.404455
0.422222,0.404535
0.422515,0.404623
0.422807,0.404703
0.423099,0.404791
0.423392,0.404871
0.423684,0.404952
0.423977,0.405033
0.424269,0.405113
0.424561,0.405194
0.424854,0.405274
0.425146,0.405348
0.425439,0.405429
0.425731,0.405510
0.426023,0.405590
0.426316,0.405671
0.426608,0.405745
0.426901,0.405825
0.427193,0.405899
0.427485,0.405980
0.427778,0.406061
0.428070,0.406141
0.428363,0.406222
0.428655,0.406296
0.428947,0.406376
0.429240,0.406450
0.429532,0.406531
0.429825,0.406612
0.430117,0.406692
0.430409,0.406773
0.430702,0.406847
0.430994,0.406927
0.431287,0.407008
0.431579,0.407089
0.431871,0.407169
0.432164,0.407250
0.432456,0.407331
0.432749,0.407404
0.433041,0.407478
0.433333,0.407559
0.433626,0.407633
0.433918,0.407713
0.434211,0.407794
0.434503,0.407868
0.434795,0.407942
0.435088,0.408009
0.435380,0.408083
0.435673,0.408157
0.435965,0.408231
0.436257,0.408305
0.436550,0.408385
0.436842,0.408459
0.437135,0.408533
0.437427,0.408607
0.437719,0.408681
0.438012,0.408762
0.438304,0.408842
0.438596,0.408923
0.438889,0.408997
0.439181,0.409071
0.439474,0.409138
0.439766,0.409212
0.440058,0.409286
0.440351,0.409366
0.440643,0.409447
0.440936,0.409521
0.441228,0.409595
0.441520,0.409662
0.441813,0.409736
0.442105,0.409810
0.442398,0.409884
0.442690,0.409964
0.442982,0.410038
0.443275,0.410112
0.443567,0.410179
0.443860,0.410247
0.444152,0.410320
0.444444,0.410394
0.444737,0.410475
0.445029,0.410556
0.445322,0.410630
0.445614,0.410703
0.445906,0.410771
0.446199,0.410845
0.446491,0.410918
0.446784,0.410992
0.447076,0.411073
0.447368,0.411147
0.447661,0.411221
0.447953,0.411295
0.448246,0.411369
0.448538,0.411443
0.448830,0.411516
0.449123,0.411590
0.449415,0.411664
0.449708,0.411738
0.450000,0.411805
0.450292,0.411873
0.450585,0.411947
0.450877,0.412020
0.451170,0.412094
0.451462,0.412175
0.451754,0.412249
0.452047,0.412323
0.452339,0.412390
0.452632,0.412457
0.452924,0.412524
0.453216,0.412598
0.453509,0.412672
0.453801,0.412746
0.454094,0.412820
0.454386,0.412894
0.454678,0.412961
0.454971,0.413028
0.455263,0.413102
0.455556,0.413176
0.455848,0.413250
0.456140,0.413324
0.456433,0.413398
0.456725,0.413465
0.457018,0.413532
0.457310,0.413599
0.457602,0.413667
0.457895,0.413741
0.458187,0.413808
0.458480,0.413875
0.458772,0.413949
0.459064,0.414016
0.459357,0.414083
0.459649,0.414150
0.459942,0.414224
0.460234,0.414298
0.460526,0.414365
0.460819,0.414439
0.461111,0.414513
0.461404,0.414580
0.461696,0.414648
0.461988,0.414715
0.462281,0.414782
0.462573,0.414849
0.462865,0.414916
0.463158,0.414984
0.463450,0.415051
0.463743,0.415118
0.464035,0.415185
0.464327,0.415252
0.464620,0.415319
0.464912,0.415393
0.465205,0.415461
0.465497,0.415528
0.465789,0.415595
0.466082,0.415662
0.466374,0.415729
0.466667,0.415797
0.466959,0.415864
0.467251,0.415931
0.467544,0.415998
0.467836,0.416065
0.468129,0.416126
0.468421,0.416193
0.468713,0.416260
0.469006,0.416327
0.469298,0.416395
0.469591,0.416462
0.469883,0.416529
0.470175,0.416596
0.470468,0.416663
0.470760,0.416730
0.471053,0.416798
0.471345,0.416865
0.471637,0.416932
0.471930,0.416993
0.472222,0.417053
0.472515,0.417120
0.472807,0.417181
0.473099,0.417241
0.473392,0.417302
0.473684,0.417362
0.473977,0.417429
